Sources,Famille,Métiers,Poste 1,Poste 2,Poste 3,Poste 4,Poste 5,Poste 6,Poste 7,Poste 8,Poste 9,Poste 10,Poste 11,Poste 12
GEN,"Communication digitale, marketing et e-Commerce",Communication digitale,Chargé de communication web,Chef de projet communication digitale,Responsable communication digitale,,,,,,,,,
GEN,"Communication digitale, marketing et e-Commerce",e-commerce,Chargé e-commerce,Chef de projet e-commerce,Responsable e-commerce,,,,,,,,,
Kevin,"Communication digitale, marketing et e-Commerce",Marketing digital,Chargé de marketing digital,Chef de projet marketing digital,Responsable marketing digital,,,,,,,,,
GEN,"Communication digitale, marketing et e-Commerce",Community management,Community manager,Veilleur e-reputation,,,,,,,,,,
GEN,"Communication digitale, marketing et e-Commerce",Content management / rédaction web,Journaliste web,Content manager,,,,,,,,,,
GEN,"Communication digitale, marketing et e-Commerce",Digital business Development,Digital business developer,,,,,,,,,,,
Kevin,"Communication digitale, marketing et e-Commerce",SEA/SEO/SEM,Expert SEO,,,,,,,,,,,
Kevin,"Communication digitale, marketing et e-Commerce",Growth hacking,Growth hacker,,,,,,,,,,,
GEN,"Communication digitale, marketing et e-Commerce",Formation au numérique,Médiateur numérique,Référent digital,Couteau suisse du numérique,,,,,,,,,
Kevin,"Communication digitale, marketing et e-Commerce",Traffic Management,Traffic manager,,,,,,,,,,,
GEN,"Sécurité, cloud, réseau et télécoms",Cloud,Architecte Cloud,Technicien cloud,Ingénieur Cloud computing,,,,,,,,,
GEN,"Sécurité, cloud, réseau et télécoms",Cybersécurité,Analyste cybersécurité,Technicien cybersécurité,Analyste SOC,Pen testeur,,,,,,,,
Kevin,"Sécurité, cloud, réseau et télécoms",Système d'information,Administrateur Système d'information,Chef de projet systèmes d'information,Responsable sécurité des systèmes d'information,Responsable Sécurité de l'information,Expert en système d’information,Technicien d'exploitation,,,,,,
GEN,"Sécurité, cloud, réseau et télécoms",Données personnelles,Délégué à la protection des données (DPD),,,,,,,,,,,
Kevin,"Sécurité, cloud, réseau et télécoms",Sécurité IT,Expert Sécurité IT,Security Architect,,,,,,,,,,
,"Sécurité, cloud, réseau et télécoms",Système et réseaux,Administrateur système et réseau,Technicien système et réseau,"Spécialiste systèmes, réseaux et sécurité",Ingenieur systèmes,Expert en technologie de l’information,Gestionnaire de parc micro-informatique,Expert systèmes et réseaux,,,,,
,"Sécurité, cloud, réseau et télécoms",Support technique,Conseiller support technique,Spécialiste support,Technicien helpdesk,,,,,,,,,
,"Sécurité, cloud, réseau et télécoms",Télécoms,Technicien de déploiement de fibre optique,Technicien en télécommunication,,,,,,,,,,
GEN,Data / IA / IOT,Administration de base de données,Architecte base de données,Technicien base de données,Gestionnaire de base de données,,,,,,,,,
OPIIEC,Data / IA / IOT,IoT / Robotique,Architecte IoT,Developpeur IOT,Ingénieur IOT,Ingénieur logiciel en robotique,,,,,,,,
Kevin,Data / IA / IOT,Data / Big data,Chargé de projet Data,Data Analyst,Data Architect,Data Engineer,Data Hôte.sse,Data Miner,Data Scientist,Développeur Data,Technicien data,Ingénieur Data Visualisation,Developpeur Big Data,
GEN,Data / IA / IOT,IA / Machine learning,Développeur IA,IA product Manager,Ingénieur en Machine Learning,Développeur machine learning,,,,,,,,
GEN,Data / IA / IOT,Blockchain,Développeur blockchain,Technicien blockchain,,,,,,,,,,
Kevin,Data / IA / IOT,CRM,Responsable CRM,,,,,,,,,,,
Kevin,"Développement, test et Ops",Logiciel,Architecte Logiciel,Intégrateur logiciels métiers,,,,,,,,,,
OPIIEC,"Développement, test et Ops",Développement,Developpeur Back-End,Developpeur Front-End,Développeur Full Stack,Développeur Web / Mobile,Développeur Web,Développeur Mobile,Développeur d'applications,Intégrateur web,,,,
Kevin,"Développement, test et Ops",DevOps,Ingénieur DevOps,,,,,,,,,,,
GEN,"Développement, test et Ops",Test,Testeur,Spécialiste test et validation,,,,,,,,,,
OPIIEC,Gestion / Pilotage,Gestion de projet digital,Directeur de projet,Coordinateur de projet,Chef de projet technique,Chef de projet digital,Chef de projet agile,Scrum master,,,,,,
GEN,Gestion / Pilotage,Entrepreneuriat,Entrepreneur digital,Startupper,Créateur d'entreprise,,,,,,,,,
,Gestion / Pilotage,Management Produit,Product Manager,Product Owner,,,,,,,,,,
,Gestion / Pilotage,Gestion de site web,Webmaster,Chef de projet web,,,,,,,,,,
GEN,Interface graphisme / design,Création de vidéos,Chargé de production vidéos,Vidéaste,,,,,,,,,,
GEN,Interface graphisme / design,Impression 3D,Fablab manager,Forgeur numérique,,,,,,,,,,
GEN,Interface graphisme / design,Jeux vidéos,Game designer,Développeur de jeux vidéos,Réalisateur de jeux vidéos,,,,,,,,,
GEN,Interface graphisme / design,Graphisme / Design,Motion Designer,Infographiste,UI Designer,UX Designer,Webdesigner,Animateur 3D,,,,,,